time,x,y,theta
33.327,4.3063297372469833e-10,6.043412437151119e-10,4.181998303209866e-09
33.327,6.413201081301168e-10,1.184750519911404e-09,7.827286374606501e-09
33.327,6.413201081301168e-10,1.184750519911404e-09,7.82728815096334e-09
33.327,6.413201081301168e-10,1.184750519911404e-09,7.82728992732018e-09
33.327,6.413201081301168e-10,1.184750519911404e-09,7.82729214776623e-09
33.327,6.413202191524192e-10,1.184750519911404e-09,7.827293924123069e-09
33.327,6.413201081301168e-10,1.184750519911404e-09,7.827295700479908e-09
33.327,6.413201081301168e-10,1.184750519911404e-09,7.827297920925957e-09
33.327,6.413201081301168e-10,1.184750519911404e-09,7.827299697282797e-09
33.327,4.306327516800934e-10,6.043405775812971e-10,4.182013846332211e-09
33.327,6.413201081301168e-10,1.184750519911404e-09,7.827303249996476e-09
33.327,6.413202191524192e-10,1.184750519911404e-09,7.827305470442525e-09
33.327,4.306327516800934e-10,6.043405775812971e-10,4.182019175402729e-09
33.327,6.413201081301168e-10,1.184750519911404e-09,7.827309023156204e-09
33.327,6.413201081301168e-10,1.184750519911404e-09,7.827310799513043e-09
33.327,4.306327516800934e-10,6.043405775812971e-10,4.1820240603840375e-09
33.327,4.306327516800934e-10,6.043403555366922e-10,4.182025836740877e-09
33.327,4.306327516800934e-10,6.043403555366922e-10,4.182027613097716e-09
33.33,4.306359713268648e-10,6.043507916331237e-10,4.182028945365346e-09
33.333,4.3063941301824116e-10,6.043610056849502e-10,4.182030721722185e-09
33.336,-9.47168410370125e-09,-2.667496534769498e-08,-1.6714687856023147e-07
33.338,6.41326880490567e-10,1.184771170059662e-09,7.827324122189339e-09
33.341,4.3063885790672884e-10,6.043590072835059e-10,4.182024504473247e-09
33.344,4.3063885790672884e-10,6.043590072835059e-10,4.182026280830087e-09
33.348,4.3063885790672884e-10,6.04358785238901e-10,4.182028057186926e-09
33.351,6.41326880490567e-10,1.184771170059662e-09,7.827331671705906e-09
33.357,4.3063885790672884e-10,6.043590072835059e-10,4.182031165811395e-09
